game_id,season,game_date,team_id,team_name,opponent_team_id,opponent_team_name,home,win,team_teamSlug,team_fieldGoalsMade,team_fieldGoalsAttempted,team_fieldGoalsPercentage,team_threePointersMade,team_threePointersAttempted,team_threePointersPercentage,team_freeThrowsMade,team_freeThrowsAttempted,team_freeThrowsPercentage,team_reboundsOffensive,team_reboundsDefensive,team_reboundsTotal,team_assists,team_steals,team_blocks,team_turnovers,team_foulsPersonal,team_points,team_plusMinusPoints,team_estimatedOffensiveRating,team_offensiveRating,team_estimatedDefensiveRating,team_defensiveRating,team_estimatedNetRating,team_netRating,team_assistPercentage,team_assistToTurnover,team_assistRatio,team_offensiveReboundPercentage,team_defensiveReboundPercentage,team_reboundPercentage,team_estimatedTeamTurnoverPercentage,team_turnoverRatio,team_effectiveFieldGoalPercentage,team_trueShootingPercentage,team_usagePercentage,team_estimatedUsagePercentage,team_estimatedPace,team_pace,team_pacePer40,team_possessions,team_PIE,team_effectiveFieldGoalPercentage_fourfactors,team_freeThrowAttemptRate,team_teamTurnoverPercentage,team_offensiveReboundPercentage_fourfactors,team_oppEffectiveFieldGoalPercentage,team_oppFreeThrowAttemptRate,team_oppTeamTurnoverPercentage,team_oppOffensiveReboundPercentage,team_pointsOffTurnovers,team_pointsSecondChance,team_pointsFastBreak,team_pointsPaint,team_oppPointsOffTurnovers,team_oppPointsSecondChance,team_oppPointsFastBreak,team_oppPointsPaint,team_blocks_misc,team_foulsPersonal_misc,team_foulsDrawn,team_percentageFieldGoalsAttempted2pt,team_percentageFieldGoalsAttempted3pt,team_percentagePoints2pt,team_percentagePointsMidrange2pt,team_percentagePoints3pt,team_percentagePointsFastBreak,team_percentagePointsFreeThrow,team_percentagePointsOffTurnovers,team_percentagePointsPaint,team_percentageAssisted2pt,team_percentageUnassisted2pt,team_percentageAssisted3pt,team_percentageUnassisted3pt,team_percentageAssistedFGM,team_percentageUnassistedFGM,team_percentagePersonalFoulsDrawn,opp_teamSlug,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_fieldGoalsPercentage,opp_threePointersMade,opp_threePointersAttempted,opp_threePointersPercentage,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_freeThrowsPercentage,opp_reboundsOffensive,opp_reboundsDefensive,opp_reboundsTotal,opp_assists,opp_steals,opp_blocks,opp_turnovers,opp_foulsPersonal,opp_points,opp_plusMinusPoints,opp_estimatedOffensiveRating,opp_offensiveRating,opp_estimatedDefensiveRating,opp_defensiveRating,opp_estimatedNetRating,opp_netRating,opp_assistPercentage,opp_assistToTurnover,opp_assistRatio,opp_offensiveReboundPercentage,opp_defensiveReboundPercentage,opp_reboundPercentage,opp_estimatedTeamTurnoverPercentage,opp_turnoverRatio,opp_effectiveFieldGoalPercentage,opp_trueShootingPercentage,opp_usagePercentage,opp_estimatedUsagePercentage,opp_estimatedPace,opp_pace,opp_pacePer40,opp_possessions,opp_PIE,opp_effectiveFieldGoalPercentage_fourfactors,opp_freeThrowAttemptRate,opp_teamTurnoverPercentage,opp_offensiveReboundPercentage_fourfactors,opp_oppEffectiveFieldGoalPercentage,opp_oppFreeThrowAttemptRate,opp_oppTeamTurnoverPercentage,opp_oppOffensiveReboundPercentage,opp_pointsOffTurnovers,opp_pointsSecondChance,opp_pointsFastBreak,opp_pointsPaint,opp_oppPointsOffTurnovers,opp_oppPointsSecondChance,opp_oppPointsFastBreak,opp_oppPointsPaint,opp_blocks_misc,opp_foulsPersonal_misc,opp_foulsDrawn,opp_percentageFieldGoalsAttempted2pt,opp_percentageFieldGoalsAttempted3pt,opp_percentagePoints2pt,opp_percentagePointsMidrange2pt,opp_percentagePoints3pt,opp_percentagePointsFastBreak,opp_percentagePointsFreeThrow,opp_percentagePointsOffTurnovers,opp_percentagePointsPaint,opp_percentageAssisted2pt,opp_percentageUnassisted2pt,opp_percentageAssisted3pt,opp_percentageUnassisted3pt,opp_percentageAssistedFGM,opp_percentageUnassistedFGM,opp_percentagePersonalFoulsDrawn
22001069,2020-21,2021-05-16,1610612765,Pistons,1610612748,Heat,1,0,pistons,40,86,0.465,11,35,0.314,16,22,0.727,7,26,33,26,4,4,16,21,107,-13.0,551.5,110.3,612.2,122.4,-60.7,-12.1,0.65,1.63,19.3,0.245,0.769,0.477,16.495,16.5,0.529,0.559,1.0,0.991,19.5,97.5,81.25,97.0,0.386,0.529,0.256,0.165,0.245,0.637,0.238,0.122,0.231,16,14,7,50,22,9,7,64,4,21,19,0.593,0.407,0.542,0.075,0.308,0.065,0.15,0.15,0.467,0.552,0.448,0.909,0.091,0.65,0.35,1.0,heat,47,84,0.56,13,34,0.382,13,20,0.65,6,33,39,32,11,5,10,19,120,13.0,612.2,122.4,551.5,110.3,60.7,12.1,0.681,2.67,23.4,0.231,0.755,0.523,12.245,12.2,0.637,0.647,1.0,0.971,19.5,97.5,81.25,98.0,0.614,0.637,0.238,0.122,0.231,0.529,0.256,0.165,0.245,22,9,7,64,16,14,7,50,5,19,21,0.595,0.405,0.567,0.033,0.325,0.058,0.108,0.183,0.533,0.647,0.353,0.769,0.231,0.681,0.319,1.0
22001069,2020-21,2021-05-16,1610612748,Heat,1610612765,Pistons,0,1,heat,47,84,0.56,13,34,0.382,13,20,0.65,6,33,39,32,11,5,10,19,120,13.0,612.2,122.4,551.5,110.3,60.7,12.1,0.681,2.67,23.4,0.231,0.755,0.523,12.245,12.2,0.637,0.647,1.0,0.971,19.5,97.5,81.25,98.0,0.614,0.637,0.238,0.122,0.231,0.529,0.256,0.165,0.245,22,9,7,64,16,14,7,50,5,19,21,0.595,0.405,0.567,0.033,0.325,0.058,0.108,0.183,0.533,0.647,0.353,0.769,0.231,0.681,0.319,1.0,pistons,40,86,0.465,11,35,0.314,16,22,0.727,7,26,33,26,4,4,16,21,107,-13.0,551.5,110.3,612.2,122.4,-60.7,-12.1,0.65,1.63,19.3,0.245,0.769,0.477,16.495,16.5,0.529,0.559,1.0,0.991,19.5,97.5,81.25,97.0,0.386,0.529,0.256,0.165,0.245,0.637,0.238,0.122,0.231,16,14,7,50,22,9,7,64,4,21,19,0.593,0.407,0.542,0.075,0.308,0.065,0.15,0.15,0.467,0.552,0.448,0.909,0.091,0.65,0.35,1.0
22001075,2020-21,2021-05-16,1610612755,76ers,1610612753,Magic,1,1,sixers,46,94,0.489,19,40,0.475,17,23,0.739,9,32,41,35,8,5,11,27,128,11.0,615.4,123.1,562.5,112.5,52.9,10.6,0.761,2.92,23.5,0.196,0.744,0.447,11.538,11.5,0.59,0.615,1.0,0.991,20.8,104.0,86.67,104.0,0.539,0.59,0.245,0.115,0.196,0.539,0.539,0.163,0.256,18,12,23,48,20,14,16,48,5,27,25,0.574,0.426,0.422,0.047,0.445,0.18,0.133,0.141,0.375,0.667,0.333,0.895,0.105,0.761,0.239,1.0,magic,36,76,0.474,10,28,0.357,35,41,0.854,9,38,47,23,4,3,16,25,117,-11.0,562.5,112.5,615.4,123.1,-52.9,-10.6,0.639,1.35,16.7,0.256,0.804,0.553,16.346,16.3,0.539,0.622,1.0,0.965,20.8,104.0,86.67,104.0,0.461,0.539,0.539,0.163,0.256,0.59,0.245,0.115,0.196,20,14,16,48,18,12,23,48,3,25,27,0.632,0.368,0.444,0.034,0.256,0.137,0.299,0.171,0.41,0.538,0.462,0.9,0.1,0.639,0.361,1.0
22001075,2020-21,2021-05-16,1610612753,Magic,1610612755,76ers,0,0,magic,36,76,0.474,10,28,0.357,35,41,0.854,9,38,47,23,4,3,16,25,117,-11.0,562.5,112.5,615.4,123.1,-52.9,-10.6,0.639,1.35,16.7,0.256,0.804,0.553,16.346,16.3,0.539,0.622,1.0,0.965,20.8,104.0,86.67,104.0,0.461,0.539,0.539,0.163,0.256,0.59,0.245,0.115,0.196,20,14,16,48,18,12,23,48,3,25,27,0.632,0.368,0.444,0.034,0.256,0.137,0.299,0.171,0.41,0.538,0.462,0.9,0.1,0.639,0.361,1.0,sixers,46,94,0.489,19,40,0.475,17,23,0.739,9,32,41,35,8,5,11,27,128,11.0,615.4,123.1,562.5,112.5,52.9,10.6,0.761,2.92,23.5,0.196,0.744,0.447,11.538,11.5,0.59,0.615,1.0,0.991,20.8,104.0,86.67,104.0,0.539,0.59,0.245,0.115,0.196,0.539,0.539,0.163,0.256,18,12,23,48,20,14,16,48,5,27,25,0.574,0.426,0.422,0.047,0.445,0.18,0.133,0.141,0.375,0.667,0.333,0.895,0.105,0.761,0.239,1.0
22001071,2020-21,2021-05-16,1610612750,Timberwolves,1610612742,Mavericks,1,1,timberwolves,49,90,0.544,17,40,0.425,21,25,0.84,11,27,38,35,11,4,9,22,136,15.0,686.9,137.4,611.1,122.2,75.8,15.2,0.714,3.5,23.6,0.326,0.646,0.495,10.101,10.1,0.639,0.673,1.0,0.973,19.8,99.0,82.5,99.0,0.564,0.639,0.278,0.101,0.326,0.571,0.22,0.162,0.354,19,16,15,62,18,20,7,38,4,22,19,0.556,0.444,0.471,0.015,0.375,0.11,0.154,0.14,0.456,0.625,0.375,0.882,0.118,0.714,0.286,1.0,mavericks,44,91,0.484,16,38,0.421,17,20,0.85,11,27,38,32,5,5,16,19,121,-15.0,611.1,122.2,686.9,137.4,-75.8,-15.2,0.727,2.0,21.6,0.354,0.674,0.505,16.162,16.2,0.571,0.606,1.0,0.991,19.8,99.0,82.5,99.0,0.436,0.571,0.22,0.162,0.354,0.639,0.278,0.101,0.326,18,20,7,38,19,16,15,62,5,19,22,0.582,0.418,0.463,0.149,0.397,0.058,0.14,0.149,0.314,0.679,0.321,0.813,0.188,0.727,0.273,1.0
22001071,2020-21,2021-05-16,1610612742,Mavericks,1610612750,Timberwolves,0,0,mavericks,44,91,0.484,16,38,0.421,17,20,0.85,11,27,38,32,5,5,16,19,121,-15.0,611.1,122.2,686.9,137.4,-75.8,-15.2,0.727,2.0,21.6,0.354,0.674,0.505,16.162,16.2,0.571,0.606,1.0,0.991,19.8,99.0,82.5,99.0,0.436,0.571,0.22,0.162,0.354,0.639,0.278,0.101,0.326,18,20,7,38,19,16,15,62,5,19,22,0.582,0.418,0.463,0.149,0.397,0.058,0.14,0.149,0.314,0.679,0.321,0.813,0.188,0.727,0.273,1.0,timberwolves,49,90,0.544,17,40,0.425,21,25,0.84,11,27,38,35,11,4,9,22,136,15.0,686.9,137.4,611.1,122.2,75.8,15.2,0.714,3.5,23.6,0.326,0.646,0.495,10.101,10.1,0.639,0.673,1.0,0.973,19.8,99.0,82.5,99.0,0.564,0.639,0.278,0.101,0.326,0.571,0.22,0.162,0.354,19,16,15,62,18,20,7,38,4,22,19,0.556,0.444,0.471,0.015,0.375,0.11,0.154,0.14,0.456,0.625,0.375,0.882,0.118,0.714,0.286,1.0
22001073,2020-21,2021-05-16,1610612752,Knicks,1610612738,Celtics,1,1,knicks,34,79,0.43,13,27,0.481,15,19,0.789,4,37,41,16,7,6,10,17,96,4.0,516.1,103.2,494.6,98.9,21.5,4.3,0.471,1.45,13.8,0.152,0.736,0.465,11.828,11.8,0.513,0.549,1.0,0.97,18.6,93.0,77.5,93.0,0.533,0.513,0.241,0.118,0.152,0.471,0.174,0.129,0.264,12,4,17,26,11,6,16,40,6,17,19,0.658,0.342,0.438,0.167,0.406,0.177,0.156,0.125,0.271,0.429,0.571,0.538,0.462,0.471,0.529,1.0,celtics,35,86,0.407,11,41,0.268,11,15,0.733,9,37,46,19,4,6,12,19,92,-4.0,494.6,98.9,516.1,103.2,-21.5,-4.3,0.543,1.58,15.1,0.264,0.848,0.535,12.903,12.9,0.471,0.497,1.0,0.981,18.6,93.0,77.5,93.0,0.467,0.471,0.174,0.129,0.264,0.513,0.241,0.118,0.152,11,6,16,40,12,4,17,26,6,19,17,0.523,0.477,0.522,0.087,0.359,0.174,0.12,0.12,0.435,0.5,0.5,0.636,0.364,0.543,0.457,1.0
22001073,2020-21,2021-05-16,1610612738,Celtics,1610612752,Knicks,0,0,celtics,35,86,0.407,11,41,0.268,11,15,0.733,9,37,46,19,4,6,12,19,92,-4.0,494.6,98.9,516.1,103.2,-21.5,-4.3,0.543,1.58,15.1,0.264,0.848,0.535,12.903,12.9,0.471,0.497,1.0,0.981,18.6,93.0,77.5,93.0,0.467,0.471,0.174,0.129,0.264,0.513,0.241,0.118,0.152,11,6,16,40,12,4,17,26,6,19,17,0.523,0.477,0.522,0.087,0.359,0.174,0.12,0.12,0.435,0.5,0.5,0.636,0.364,0.543,0.457,1.0,knicks,34,79,0.43,13,27,0.481,15,19,0.789,4,37,41,16,7,6,10,17,96,4.0,516.1,103.2,494.6,98.9,21.5,4.3,0.471,1.45,13.8,0.152,0.736,0.465,11.828,11.8,0.513,0.549,1.0,0.97,18.6,93.0,77.5,93.0,0.533,0.513,0.241,0.118,0.152,0.471,0.174,0.129,0.264,12,4,17,26,11,6,16,40,6,17,19,0.658,0.342,0.438,0.167,0.406,0.177,0.156,0.125,0.271,0.429,0.571,0.538,0.462,0.471,0.529,1.0
22001076,2020-21,2021-05-16,1610612757,Trail Blazers,1610612743,Nuggets,1,1,blazers,46,87,0.529,18,43,0.419,22,26,0.846,11,40,51,24,3,6,13,16,132,16.0,680.4,136.1,591.8,118.4,88.6,17.7,0.522,1.71,17.6,0.341,0.745,0.566,14.433,14.4,0.632,0.67,1.0,0.982,19.5,97.5,81.25,97.0,0.582,0.632,0.299,0.144,0.341,0.52,0.153,0.061,0.255,5,16,13,46,21,15,11,44,6,16,20,0.506,0.494,0.424,0.076,0.409,0.098,0.167,0.038,0.348,0.571,0.429,0.444,0.556,0.522,0.478,1.0,nuggets,44,98,0.449,14,37,0.378,14,15,0.933,10,26,36,20,8,2,6,20,116,-16.0,591.8,118.4,680.4,136.1,-88.6,-17.7,0.455,3.33,15.3,0.255,0.659,0.434,6.122,6.1,0.52,0.554,1.0,0.982,19.5,97.5,81.25,98.0,0.418,0.52,0.153,0.061,0.255,0.632,0.299,0.144,0.341,21,15,11,44,5,16,13,46,2,20,16,0.622,0.378,0.517,0.138,0.362,0.095,0.121,0.181,0.379,0.333,0.667,0.714,0.286,0.455,0.545,1.0
22001076,2020-21,2021-05-16,1610612743,Nuggets,1610612757,Trail Blazers,0,0,nuggets,44,98,0.449,14,37,0.378,14,15,0.933,10,26,36,20,8,2,6,20,116,-16.0,591.8,118.4,680.4,136.1,-88.6,-17.7,0.455,3.33,15.3,0.255,0.659,0.434,6.122,6.1,0.52,0.554,1.0,0.982,19.5,97.5,81.25,98.0,0.418,0.52,0.153,0.061,0.255,0.632,0.299,0.144,0.341,21,15,11,44,5,16,13,46,2,20,16,0.622,0.378,0.517,0.138,0.362,0.095,0.121,0.181,0.379,0.333,0.667,0.714,0.286,0.455,0.545,1.0,blazers,46,87,0.529,18,43,0.419,22,26,0.846,11,40,51,24,3,6,13,16,132,16.0,680.4,136.1,591.8,118.4,88.6,17.7,0.522,1.71,17.6,0.341,0.745,0.566,14.433,14.4,0.632,0.67,1.0,0.982,19.5,97.5,81.25,97.0,0.582,0.632,0.299,0.144,0.341,0.52,0.153,0.061,0.255,5,16,13,46,21,15,11,44,6,16,20,0.506,0.494,0.424,0.076,0.409,0.098,0.167,0.038,0.348,0.571,0.429,0.444,0.556,0.522,0.478,1.0
