team,avg_wins,prob_playoff_approx,actual_wins,error,abs_error,sq_error
Celtics,63.95,1.0,59,4.950000000000003,4.950000000000003,24.50250000000003
76ers,57.4,1.0,24,33.4,33.4,1115.56
Thunder,57.05,1.0,65,-7.950000000000003,7.950000000000003,63.20250000000004
Nuggets,56.9,1.0,50,6.899999999999999,6.899999999999999,47.60999999999998
Clippers,55.8,1.0,49,6.799999999999997,6.799999999999997,46.23999999999996
Timberwolves,55.65,1.0,48,7.649999999999999,7.649999999999999,58.52249999999998
Knicks,52.2,1.0,50,2.200000000000003,2.200000000000003,4.840000000000012
Pelicans,49.0,0.95,19,30.0,30.0,900.0
Magic,48.15,0.9,39,9.149999999999999,9.149999999999999,83.72249999999997
Bucks,47.2,0.85,46,1.2000000000000028,1.2000000000000028,1.4400000000000068
Cavaliers,45.95,0.75,61,-15.049999999999997,15.049999999999997,226.5024999999999
Pacers,45.05,0.85,48,-2.950000000000003,2.950000000000003,8.702500000000017
Mavericks,44.6,0.65,38,6.600000000000001,6.600000000000001,43.56000000000002
Suns,44.15,0.55,34,10.149999999999999,10.149999999999999,103.02249999999997
Warriors,42.1,0.45,46,-3.8999999999999986,3.8999999999999986,15.209999999999988
Rockets,40.35,0.3,51,-10.649999999999999,10.649999999999999,113.42249999999997
Kings,38.5,0.2,40,-1.5,1.5,2.25
Heat,38.3,0.1,35,3.299999999999997,3.299999999999997,10.889999999999981
Lakers,36.0,0.1,47,-11.0,11.0,121.0
Hawks,35.9,0.05,38,-2.1000000000000014,2.1000000000000014,4.410000000000006
Nets,33.95,0.05,26,7.950000000000003,7.950000000000003,63.20250000000004
Raptors,31.6,0.0,29,2.6000000000000014,2.6000000000000014,6.760000000000008
Bulls,29.95,0.0,38,-8.05,8.05,64.80250000000001
Jazz,25.0,0.0,17,8.0,8.0,64.0
Grizzlies,22.45,0.0,47,-24.55,24.55,602.7025
Wizards,20.25,0.0,18,2.25,2.25,5.0625
Pistons,20.2,0.0,44,-23.8,23.8,566.44
Trail Blazers,18.7,0.0,36,-17.3,17.3,299.29
Spurs,18.05,0.0,32,-13.95,13.95,194.6025
Hornets,17.65,0.0,18,-0.3500000000000014,0.3500000000000014,0.122500000000001
