76ers,Bucks,Bulls,Cavaliers,Celtics,Clippers,Grizzlies,Hawks,Heat,Hornets,Jazz,Kings,Knicks,Lakers,Magic,Mavericks,Nets,Nuggets,Pacers,Pelicans,Pistons,Raptors,Rockets,Spurs,Suns,Thunder,Timberwolves,Trail Blazers,Warriors,Wizards
52,44,35,46,68,53,23,44,38,11,23,33,49,40,51,45,41,61,46,45,18,32,35,20,42,54,57,14,49,23
59,48,25,37,61,54,22,36,38,18,24,46,49,33,48,46,33,64,46,54,24,32,42,16,37,60,62,17,35,26
59,47,22,39,60,54,20,38,42,21,31,31,54,35,43,46,35,59,47,51,27,36,44,14,44,56,59,24,36,18
59,52,23,45,66,59,29,37,30,19,30,35,50,35,48,39,31,53,44,56,30,20,38,19,52,56,57,18,41,21
61,45,28,41,67,56,29,36,37,18,31,45,58,34,48,36,28,49,47,47,16,28,45,20,42,67,51,21,44,17
56,46,39,50,65,54,17,36,35,21,19,40,52,35,51,48,32,54,46,56,18,22,40,17,49,49,54,20,41,30
54,42,33,43,66,61,25,33,46,19,30,33,52,43,46,51,35,54,44,49,17,31,37,22,41,59,48,18,39,21
64,46,33,48,59,52,20,25,42,19,29,41,49,37,46,47,33,54,49,52,19,39,39,16,48,55,56,17,40,18
57,47,27,47,63,48,18,38,37,19,21,52,48,31,41,46,30,61,44,53,23,35,40,14,45,63,59,19,44,22
58,42,25,53,67,51,27,40,40,19,23,36,47,37,50,36,41,63,47,50,18,39,37,23,37,46,66,22,40,12
56,52,28,43,63,60,21,34,34,13,26,35,52,45,47,51,36,53,45,45,19,30,41,19,59,57,50,25,39,14
56,40,31,47,60,63,21,40,40,18,23,37,49,36,50,43,35,55,50,44,20,31,37,20,48,53,55,21,46,23
59,47,31,51,67,53,25,36,37,16,19,37,58,35,50,39,27,59,52,56,19,36,41,19,38,53,56,17,44,15
55,51,30,39,64,54,22,38,38,12,28,41,57,37,41,55,49,57,42,45,15,33,45,15,47,57,60,13,37,15
62,44,36,49,67,44,17,34,43,14,28,41,51,39,52,47,29,58,48,44,23,28,45,25,43,54,47,17,44,19
53,54,19,45,65,59,27,37,42,17,24,38,50,36,55,48,33,55,45,45,18,28,43,22,38,59,54,19,42,22
55,53,33,42,62,63,21,32,36,18,28,28,53,36,49,42,33,60,43,43,22,29,36,18,42,65,55,17,52,26
54,52,34,56,57,59,23,42,35,25,19,40,51,41,47,37,26,50,42,51,18,31,42,16,44,57,57,15,50,21
55,46,35,49,68,57,25,30,37,16,19,33,58,26,53,50,34,58,31,52,19,40,37,9,47,66,55,21,43,23
64,46,32,49,64,62,17,32,39,20,25,48,57,29,47,40,38,61,43,42,21,32,43,17,40,55,55,19,36,19
