team,avg_wins,prob_playoff_approx
Celtics,63.95,1.0
76ers,57.4,1.0
Thunder,57.05,1.0
Nuggets,56.9,1.0
Clippers,55.8,1.0
Timberwolves,55.65,1.0
Knicks,52.2,1.0
Pelicans,49.0,0.95
Magic,48.15,0.9
Bucks,47.2,0.85
Cavaliers,45.95,0.75
Pacers,45.05,0.85
Mavericks,44.6,0.65
Suns,44.15,0.55
Warriors,42.1,0.45
Rockets,40.35,0.3
Kings,38.5,0.2
Heat,38.3,0.1
Lakers,36.0,0.1
Hawks,35.9,0.05
Nets,33.95,0.05
Raptors,31.6,0.0
Bulls,29.95,0.0
Jazz,25.0,0.0
Grizzlies,22.45,0.0
Wizards,20.25,0.0
Pistons,20.2,0.0
Trail Blazers,18.7,0.0
Spurs,18.05,0.0
Hornets,17.65,0.0
