team,avg_wins,prob_playoff_approx
Celtics,64.796,1.0
76ers,58.254,1.0
Thunder,58.017,1.0
Timberwolves,56.527,1.0
Nuggets,56.344,1.0
Clippers,55.618,0.998
Knicks,52.371,0.992
Pelicans,47.97,0.882
Magic,47.501,0.867
Bucks,47.326,0.864
Suns,46.186,0.786
Mavericks,45.136,0.717
Pacers,44.297,0.65
Cavaliers,43.831,0.607
Warriors,41.704,0.438
Rockets,39.293,0.236
Kings,38.786,0.209
Heat,38.732,0.184
Lakers,36.668,0.1
Hawks,36.147,0.069
Nets,34.519,0.036
Raptors,30.858,0.002
Bulls,29.665,0.002
Jazz,24.831,0.0
Grizzlies,21.992,0.0
Pistons,20.247,0.0
Wizards,19.655,0.0
Trail Blazers,18.904,0.0
Spurs,18.357,0.0
Hornets,17.468,0.0
